"id","borough","location","name","open_year_round","created_at","updated_at","latitude","longitude"
1049,"Manhattan","West 142 Street & Riverside Drive","Riverside Park (Riverbank Playground)","Yes","2018-07-03 15:40:19.830577","2018-07-03 16:22:45.03316",40.8254141,-73.9537574
1055,"Queens","Between 100th Street and 110th Street","Rockaway Beach","No","2018-07-03 15:40:24.083723","2018-07-03 16:22:45.647612",40.7868424,-73.94527719999999
1056,"Queens","Boardwalk & Beach 59-60 streets","Rockaway Beach & Boardwalk (Beach 59th Street Playground)","Yes","2018-07-03 15:40:24.119719","2018-07-03 16:22:46.272121",40.5918672,-73.7889197
1060,"Queens","Beach 86 Street","Rockaway Beach 86 Comfort Station",,"2018-07-03 15:40:25.320676","2018-07-03 16:22:47.28587",40.5890567,-73.8114583
1072,"Brooklyn","Colonial Road, 83 to 85 streets","Russell Pederson Playground","Yes","2018-07-03 15:40:32.297086","2018-07-03 16:22:48.514773",40.6269483,-74.035529
1045,"Manhattan","West 97 Street & Riverside Drive","Riverside Park (Dinosaur Playground)","Yes","2018-07-03 15:40:17.507252","2018-07-03 16:23:57.470209",40.7966037,-73.97429509999999
1058,"Queens","Beach 106 Street","Rockaway Beach 106 Comfort Station",,"2018-07-03 15:40:24.69726","2018-07-03 16:25:01.636869",40.582913,-73.82785539999999
1053,"Queens","Guy Brewer Boulevard, 134 Avenue","Rochdale Park","Yes","2018-07-03 15:40:23.372298","2018-07-03 16:26:32.204506",40.6734137,-73.77560989999999
1082,"Brooklyn","Owl's Head Park to Fort Hamilton Parkway Narrows Avenue","Shore Road Park","Yes","2018-07-03 15:40:41.096338","2018-07-03 15:40:41.096338",40.6401241,-74.0322927
1083,"Brooklyn","72nd Street to Harbor View","Shore Road Park","Yes","2018-07-03 15:40:42.493701","2018-07-03 15:40:42.493701",40.5848128,-73.9307467
1086,"Staten Island","Victory Boulevard, Clove Road, Forest Avenue","Silver Lake Park","Yes","2018-07-03 15:40:43.210462","2018-07-03 15:40:43.210462",40.6164581,-74.1034738
1088,"Brooklyn","6 Avenue Bet 18 & 19 Sts","Slope Park","Yes","2018-07-03 15:40:44.061683","2018-07-03 15:40:44.061683",40.7295734,-74.002251
1089,"Queens","125 Street & Atlantic Avenue","Smokey Oval","Yes","2018-07-03 15:40:44.98028","2018-07-03 15:40:44.98028",40.69527009999999,-73.8228218
1090,"Manhattan","Columbus Avenue, West 91 to West 92 streets, Central Park West","Sol Bloom Playground","Yes","2018-07-03 15:40:46.372747","2018-07-03 15:40:46.372747",40.7746238,-73.97761059999999
1091,"Manhattan","Broadway, Henry Street, Samuel Dickstein Place","Sol Lain Playground","No","2018-07-03 15:40:46.997991","2018-07-03 15:40:46.997991",40.7138054,-73.9850007
1095,"Brooklyn","Atlantic Avenue & Elton Street","Sperandeo Brothers Playground","Yes","2018-07-03 15:40:48.878398","2018-07-03 15:40:48.878398",40.6781471,-73.8842054
1096,"Queens","149 Avenue, Springfield Boulevard, 145 Road, 148 Street","Springfield Park","Yes","2018-07-03 15:40:49.910851","2018-07-03 15:40:49.910851",40.6635914,-73.75935319999999
1097,"Manhattan","West 129 & 7 Avenue","St Nicholas Park South","Yes","2018-07-03 15:40:50.686535","2018-07-03 15:40:50.686535",40.8114858,-73.9463647
1098,"Queens","174 Street & 113 Avenue","St. Albans Park (174 Street Playground)","Yes","2018-07-03 15:40:51.559783","2018-07-03 15:40:51.559783",40.8373589,-73.8876616
1099,"Brooklyn","Atlantic Avenue & Herkimer Street","St. Andrew's Playground","Yes","2018-07-03 15:40:52.219982","2018-07-03 15:40:52.219982",40.6787018,-73.9422905
1100,"Manhattan","East 67-68 streets, 1 Avenue","St. Catherine's Park","Yes","2018-07-03 15:40:53.065056","2018-07-03 15:40:53.065056",40.7652381,-73.95786919999999
